SampleName	T17100278371-CLN-KY400	T17092877688-CLN-KY400	T17101879938-CLN-KY400	T17101980114-CLN-KY400	T17101579524-CLN-KY400	T17111284474-KY400	T180712132348-KY400-2	T180725135292-KY400-1	T180504116964-KY400-2	T17101879941-CLN-KY400	T17110883446-KY400	T17111184252-KY400	T17112386324-KY400	T18013199287-KY400	T180205100229-KY400	T180210100866-KY400	F180421114485-KY400-3	T180830143481-KY400-1	T180309104769-KY400	T180310105003-KY400	F180421114490-KY400-3	T180324108555-KY400-2	T180403110481-KY400-2	F180615126557-KY400-3	F180615126558-KY400-3	T180414112756-KY400-1	T180421114430-KY400-1	T17111885442-KY400	T180422114759-KY400-1	T181115161258-KY400-1	T180508117793-KY400-2	F180615126565-KY400-3	F180615126568-KY400-3	T181107158930-KY400-1	F180615126571-KY400-3	T180627129058-KY400-1	F180828143004-KY400-3	T190313192418-KY400-1	F180828143006-KY400-3	F180828143011-KY400-3	F181024155343-KY400-3	T181215169860-KY400-1	T190421204815-KY400-1	T190427206997-KY400-1	T17111785252-KY400	T17121389982-KY400	T180301102823-KY400	T180304103469-KY400	T180331110045-KY400-1
Signature.1	3.20E-11	0.592078364	0.075551243	0.437843142	0.058387102	1.76E-06	9.99E-08	6.08E-11	8.97E-09	0.125830262	0.067193215	0.612635068	0.3504312	0.741511435	0.123365832	0.627102641	2.38E-08	0.226912732	0.23615982	0.55648328	0.332326691	0.677319772	0.317523224	0.118052308	0.36189711	0.238279015	2.02E-07	4.09E-10	0.099096565	3.35E-06	0.382635131	0.417647279	0.127750258	1.88E-09	0.61445238	0.111065849	0.567663121	0.365123245	0.263610072	0.69629432	0.323322474	0.380229415	0.869321419	6.99E-09	0.327764615	0.467860867	0.217710934	0.167113343	0.413503923
Signature.2	5.04E-11	2.56E-11	1.57E-08	0.039313375	5.07E-11	6.34E-09	3.29E-13	3.61E-11	3.33E-09	8.36E-12	0.009549807	8.41E-07	0.002461895	3.60E-16	8.18E-13	0.024555225	0.02125782	5.37E-11	5.01E-14	4.57E-12	0.076390813	1.42E-16	4.02E-12	0.041092292	9.01E-14	6.18E-12	6.95E-11	5.98E-12	1.00E-11	0.001024455	0.001905258	0.004666801	7.47E-14	1.15E-10	1.36E-19	1.27E-10	0.008009561	1.04E-06	3.98E-09	8.54E-18	3.80E-13	2.30E-11	3.81E-11	1.65E-11	0.019909008	6.20E-09	7.75E-10	8.05E-12	1.30E-11
Signature.3	0.083362806	1.37E-16	7.66E-08	0.010916797	6.78E-13	5.33E-09	2.20E-12	1.32E-11	2.73E-12	0.012218899	0.000207099	1.35E-09	2.70E-12	5.00E-17	6.03E-14	2.00E-16	2.31E-07	1.67E-11	0.385965215	0.000334491	0.292797952	0.087748274	1.05E-13	0.326324991	2.25E-11	3.36E-10	1.97E-13	7.86E-11	0.651006498	0.050017219	2.28E-08	0.358942982	6.80E-10	4.18E-12	4.05E-13	0.027269731	0.141120794	1.01E-07	6.16E-09	6.85E-11	5.42E-13	1.62E-15	1.76E-10	0.048179018	0.234206067	1.08E-11	0.00116402	8.39E-13	3.60E-10
Signature.4	9.90E-12	1.29E-10	0.015372283	1.66E-08	7.32E-11	1.13E-07	1.09E-10	3.18E-11	1.39E-10	1.42E-10	3.16E-05	3.89E-08	3.92E-11	1.63E-16	4.38E-10	1.38E-11	9.23E-05	0.003332685	2.05E-08	2.13E-14	1.02E-12	1.07E-12	2.61E-17	0.038274218	5.31E-12	1.65E-10	0.067384003	2.29E-11	1.48E-13	4.75E-07	2.24E-07	2.55E-08	4.13E-11	1.17E-10	6.95E-13	3.60E-12	1.29E-10	6.39E-08	5.99E-10	5.35E-12	6.33E-13	4.99E-18	1.61E-10	1.28E-15	9.02E-11	1.25E-09	2.47E-07	7.03E-11	0.147326887
Signature.5	5.64E-12	6.45E-16	1.43E-08	8.56E-07	1.18E-10	2.14E-08	2.58E-16	5.92E-12	8.79E-11	3.98E-10	0.090282352	1.00E-09	3.22E-10	4.20E-16	8.42E-11	5.65E-15	1.08E-07	9.73E-12	5.34E-08	8.39E-14	2.01E-10	1.18E-12	5.02E-13	2.23E-11	3.90E-11	3.08E-11	4.22E-15	2.16E-11	5.50E-14	8.98E-07	5.20E-07	4.22E-07	4.58E-11	8.94E-13	4.30E-10	1.08E-08	1.37E-10	6.70E-09	2.08E-08	7.33E-12	6.99E-18	6.57E-13	2.47E-11	3.35E-09	1.22E-10	5.78E-09	0.195270187	3.98E-15	1.10E-09
Signature.6	0.364303885	1.98E-12	0.374951189	0.389146648	0.004216934	0.898018341	0.648223515	0.263958706	0.749864903	0.314082605	0.002413569	1.76E-07	0.441126245	1.72E-10	0.477394301	0.176633676	2.61E-07	0.116758311	1.57E-11	0.202979451	1.53E-06	2.39E-10	1.79E-07	3.00E-12	2.19E-12	0.698979184	0.413001873	1.01E-09	2.53E-13	0.383804108	0.220094403	3.15E-07	0.335546265	0.026490964	0.239473103	0.58453693	0.122068742	0.543547752	7.12E-08	1.47E-12	0.654940293	0.528534111	0.123873122	0.447032512	5.28E-09	2.55E-07	0.020781993	0.025639324	3.91E-10
Signature.7	1.54E-16	0.244731721	5.44E-07	4.66E-09	0.004661016	1.38E-07	0.011530998	0.007434212	0.01435174	2.51E-12	0.059312584	1.06E-07	1.05E-12	5.40E-10	0.00779875	0.04985531	0.010193712	2.57E-10	1.34E-10	1.20E-12	1.12E-14	8.94E-15	7.47E-17	0.000456952	0.082505245	2.51E-11	7.65E-11	3.38E-11	1.45E-11	1.66E-08	7.54E-09	1.85E-07	4.53E-16	3.84E-10	0.002927009	4.19E-10	5.08E-15	3.22E-07	4.38E-09	0.032457116	2.01E-10	0.02632796	7.80E-11	0.010374039	5.27E-11	0.043741276	0.064320911	3.27E-17	3.67E-10
Signature.8	7.11E-15	7.17E-11	4.98E-08	3.04E-08	8.87E-13	5.93E-10	9.63E-12	1.00E-10	9.28E-11	3.19E-09	5.06E-05	2.05E-08	2.62E-16	1.87E-16	3.02E-09	5.99E-11	1.17E-06	5.69E-11	5.11E-09	5.66E-10	2.27E-14	3.17E-15	3.07E-11	5.11E-10	3.99E-12	1.42E-10	2.56E-15	2.76E-14	2.45E-14	1.42E-10	6.17E-08	2.63E-08	1.97E-11	2.01E-11	1.13E-10	7.31E-08	0.054597997	1.84E-07	2.99E-14	8.95E-11	2.45E-11	4.36E-12	1.93E-10	1.22E-10	2.41E-10	2.50E-08	0.266453694	2.64E-13	0.041838759
Signature.9	2.61E-14	5.09E-16	0.000320589	1.35E-07	1.10E-11	2.07E-08	8.54E-11	2.34E-12	2.43E-12	0.098836901	5.08E-05	2.08E-08	1.79E-17	1.33E-15	1.25E-14	4.42E-17	0.091780061	8.74E-11	1.91E-10	1.54E-12	0	9.60E-17	1.09E-10	0.024621886	0.179136472	2.19E-11	4.21E-09	1.08E-09	0.057143282	2.19E-07	3.80E-08	5.85E-08	1.50E-12	6.37E-12	4.65E-12	2.46E-09	0.106539762	9.08E-10	0.054375018	8.01E-11	4.53E-12	2.34E-11	3.16E-10	1.41E-10	0.116444932	3.02E-10	4.86E-05	3.71E-11	4.75E-10
Signature.10	5.70E-11	4.48E-11	1.01E-08	0.070287985	0.874946943	0.018408528	2.42E-11	1.34E-10	0.021836269	4.05E-11	0.519054704	0.101009576	0.048110389	7.40E-15	0.011616062	5.20E-09	0.0314303	1.32E-10	4.78E-13	1.19E-11	2.96E-11	0.234931953	3.33E-11	0.263926548	1.24E-12	8.65E-14	0.077574848	0.73348953	6.45E-11	5.13E-08	0.012927032	1.07E-08	1.96E-11	0.697975855	1.37E-11	2.29E-09	4.25E-12	1.15E-06	4.21E-09	0.000135693	0.02173723	1.10E-10	0.00680544	5.14E-15	1.16E-10	0.137261612	0.006241974	2.47E-10	6.61E-10
